tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
21,1,NORTH,-1.0,16.5,116.5,1,10,2,0,0,-2,-1,-3,5,2,12,0.5,0.000|0.000|0.000|0.000|0.000|0.593
22,0,STAY,-0.5,16.0,116.0,1,10,1,0,0,-2,0,-7,0,3,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
23,4,EAST,-1.0,15.0,115.0,1,10,1,0,0,-2,0,-7,0,2,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
24,0,STAY,-0.5,14.5,114.5,1,11,1,0,0,-3,0,-8,0,3,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
25,3,WEST,-1.0,13.5,113.5,1,11,1,0,0,-3,0,-8,0,5,19,0.5,0.585|0.000|0.000|0.000|0.000|0.643
26,3,WEST,-1.0,12.5,112.5,1,10,1,0,0,-2,0,-7,0,2,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
27,0,STAY,-0.5,12.0,112.0,1,9,1,1,0,-1,0,-6,0,3,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
28,3,WEST,-1.0,11.0,111.0,1,9,1,1,0,-1,0,-6,0,0,16,0.5,0.000|0.000|0.000|0.000|0.000|0.000
29,5,EAT,28.0,39.0,139.0,2,8,1,2,0,0,0,-5,0,3,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
30,0,STAY,-0.5,38.5,138.5,2,8,1,1,0,-1,0,-5,0,3,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
31,3,WEST,-1.0,37.5,137.5,2,8,1,1,0,-1,0,-5,0,2,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
32,5,EAT,38.0,75.5,175.5,3,7,1,2,0,0,0,-4,0,1,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
33,3,WEST,-1.0,74.5,174.5,3,7,1,1,0,-1,-1,-4,0,1,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
34,1,NORTH,-1.0,73.5,173.5,3,6,1,1,0,0,-1,-3,0,1,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
35,5,EAT,32.0,105.5,200.0,4,6,0,1,0,0,0,-3,1,2,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
36,2,SOUTH,-1.0,104.5,199.0,4,6,0,0,0,-2,3,-3,1,1,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
37,0,STAY,-0.5,104.0,198.5,4,6,1,0,0,-2,2,-3,0,4,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
38,3,WEST,-1.0,103.0,197.5,4,6,1,0,0,-2,2,-3,0,2,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
39,0,STAY,-0.5,102.5,197.0,4,5,1,0,0,-1,2,-2,0,4,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
40,4,EAST,-1.0,101.5,196.0,4,5,1,0,0,-1,2,-2,0,1,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
41,0,STAY,-0.5,101.0,195.5,4,6,1,0,0,-2,2,-3,0,4,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
42,0,STAY,-0.5,100.5,195.0,4,6,1,0,0,-2,2,-3,0,4,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
43,3,WEST,-1.0,99.5,194.0,4,6,1,0,0,-2,2,-3,0,1,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
44,2,SOUTH,-1.0,98.5,193.0,4,5,1,0,0,-1,2,-2,0,1,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
45,3,WEST,-1.0,97.5,192.0,4,5,2,1,0,-1,1,-2,-1,1,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
46,2,SOUTH,-1.0,96.5,191.0,4,4,2,1,1,0,1,-1,-1,1,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
47,5,EAT,23.0,119.5,200.0,5,4,3,1,0,0,0,-1,-2,2,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
48,0,STAY,-0.5,119.0,199.5,5,4,3,0,0,-1,2,-1,-2,6,28,0.5,0.000|0.000|0.000|0.000|0.000|0.000
49,2,SOUTH,-1.0,118.0,198.5,5,4,3,0,0,-1,2,-1,-2,2,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
50,0,STAY,-0.5,117.5,198.0,5,4,4,1,0,-1,1,-1,-3,5,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
51,3,WEST,-1.0,116.5,197.0,5,4,4,1,0,-1,1,-1,-3,2,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
52,2,SOUTH,-1.0,115.5,196.0,5,3,4,2,0,0,1,0,-3,1,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
53,5,EAT,38.0,153.5,200.0,6,3,5,2,0,0,0,0,-4,2,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
54,3,WEST,-1.0,152.5,199.0,6,3,5,1,0,-1,0,0,-4,2,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
55,5,EAT,29.0,181.5,200.0,7,2,5,1,0,0,0,-1,3,2,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
56,2,SOUTH,-1.0,180.5,199.0,7,2,5,0,0,2,3,-1,3,1,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
57,0,STAY,-0.5,180.0,198.5,7,2,6,0,0,2,2,-1,2,4,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
58,4,EAST,-1.0,179.0,197.5,7,2,6,0,0,2,2,-1,2,1,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
59,0,STAY,-0.5,178.5,197.0,7,3,6,0,0,1,2,-2,2,5,23,0.5,0.000|0.000|0.000|0.000|0.000|0.000
60,2,SOUTH,-1.0,177.5,196.0,7,3,6,0,0,-1,2,3,-1,2,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
61,0,STAY,-0.5,177.0,195.5,7,3,7,2,0,-1,1,-2,1,5,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
62,3,WEST,-1.0,176.0,194.5,7,3,7,2,0,-1,1,-2,1,2,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
63,0,STAY,-0.5,175.5,194.0,7,2,7,1,1,0,1,-1,1,4,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
64,2,SOUTH,-1.0,174.5,193.0,7,2,7,1,1,0,1,-1,1,2,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
65,5,EAT,18.0,192.5,200.0,8,2,8,1,3,0,0,-1,0,2,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
66,4,EAST,-1.0,191.5,199.0,8,2,8,0,3,2,0,-1,0,1,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
67,4,EAST,-1.0,190.5,198.0,8,3,8,1,1,1,0,-2,0,1,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
68,5,EAT,36.0,226.5,200.0,9,4,8,1,0,0,0,-3,0,2,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
69,0,STAY,-0.5,226.0,199.5,9,4,8,0,0,-4,1,-3,0,3,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
70,3,WEST,-1.0,225.0,198.5,9,4,8,0,0,-4,1,-3,0,1,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
71,0,STAY,-0.5,224.5,198.0,9,3,8,0,1,-3,1,-2,0,5,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
72,3,WEST,-1.0,223.5,197.0,9,3,8,0,1,-3,1,-2,0,1,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
73,3,WEST,-1.0,222.5,196.0,9,2,8,0,3,-2,1,-1,0,2,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
74,4,EAST,-1.0,221.5,195.0,9,1,8,1,3,-1,1,0,0,2,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
75,3,WEST,-1.0,220.5,194.0,9,2,8,0,3,-2,1,-1,0,1,23,0.5,0.000|0.000|0.000|0.000|0.000|0.000
76,1,NORTH,-1.0,219.5,193.0,9,1,8,1,3,-1,1,0,0,3,25,0.5,0.000|0.000|0.000|0.000|0.000|0.000
77,2,SOUTH,-1.0,218.5,192.0,9,1,7,0,1,-1,2,0,1,1,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
78,1,NORTH,-1.0,217.5,191.0,9,1,8,1,3,-1,1,0,0,3,26,0.5,0.000|0.000|0.000|0.000|0.000|0.000
79,0,STAY,-0.5,217.0,190.5,9,1,7,0,1,-1,2,0,1,4,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
80,0,STAY,-0.5,216.5,190.0,9,1,7,0,1,-1,2,0,1,4,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
81,2,SOUTH,-1.0,215.5,189.0,9,1,7,0,1,-1,2,0,1,2,16,0.5,0.000|0.000|0.000|0.000|0.719|0.000
82,4,EAST,-1.0,214.5,188.0,9,1,8,1,3,-1,1,0,0,3,15,0.5,0.000|0.000|0.000|0.000|0.528|0.000
83,4,EAST,-1.0,213.5,187.0,9,2,8,0,3,-2,1,-1,0,6,20,0.5,0.000|0.000|0.000|0.000|0.521|0.000
84,4,EAST,-1.0,212.5,186.0,9,3,8,0,1,-3,1,-2,0,7,27,0.501,0.000|0.508|0.000|0.000|0.753|0.000
85,4,EAST,-1.0,211.5,185.0,9,4,8,0,0,4,1,-3,0,3,26,0.5,0.000|0.579|0.000|0.000|0.784|0.000
86,4,EAST,-1.0,210.5,184.0,9,5,8,0,0,3,1,2,-1,4,27,0.5,0.000|0.000|0.000|0.000|0.580|0.000
87,4,EAST,-1.0,209.5,183.0,9,6,8,0,1,2,1,1,-1,2,24,0.5,0.000|0.000|0.000|0.000|0.806|0.000
88,2,SOUTH,-1.0,208.5,182.0,9,7,8,1,1,1,1,0,-1,2,28,0.5,0.000|0.000|0.000|0.000|0.716|0.000
89,4,EAST,-1.0,207.5,181.0,9,7,9,1,0,1,0,0,-2,4,11,0.5,0.000|0.000|0.000|0.000|0.666|0.000
90,5,EAT,27.0,234.5,200.0,10,8,9,1,0,0,0,-1,-2,3,12,0.5,0.000|0.000|0.000|0.000|0.634|0.000
91,4,EAST,-1.0,233.5,199.0,10,8,9,0,0,4,0,-1,-2,4,11,0.5,0.000|0.000|0.000|0.000|0.649|0.000
92,4,EAST,-1.0,232.5,198.0,10,9,9,0,0,3,0,-2,-2,5,12,0.5,0.000|0.000|0.000|0.000|0.702|0.000
93,4,EAST,-1.0,231.5,197.0,10,10,9,0,0,2,0,1,-3,5,16,0.5,0.000|0.000|0.000|0.000|0.747|0.000
94,2,SOUTH,-1.0,230.5,196.0,10,11,9,2,0,1,0,0,-3,3,16,0.5,0.000|0.000|0.000|0.000|0.773|0.000
95,4,EAST,-1.0,229.5,195.0,10,11,9,2,0,1,0,0,-3,2,16,0.5,0.000|0.000|0.000|0.000|0.611|0.000
96,5,EAT,35.0,264.5,200.0,11,12,9,3,0,0,0,-1,-3,4,18,0.5,0.000|0.000|0.000|0.000|0.612|0.000
97,1,NORTH,-1.0,263.5,199.0,11,12,9,2,0,0,-1,-1,-3,2,17,0.5,0.000|0.000|0.000|0.000|0.708|0.000
98,5,EAT,31.0,294.5,200.0,12,12,8,3,0,0,0,-1,-2,4,24,0.5,0.000|0.000|0.000|0.000|0.692|0.000
99,4,EAST,-1.0,293.5,199.0,12,12,8,2,0,1,-1,-1,-2,6,8,0.5,0.000|0.000|0.000|0.000|0.781|0.000
100,1,NORTH,-1.0,292.5,198.0,12,13,8,2,0,0,-1,-2,-2,2,8,0.5,0.000|0.000|0.000|0.000|0.664|0.000
101,5,EAT,38.0,330.5,200.0,13,13,7,1,0,0,0,-2,-1,3,14,0.5,0.000|0.000|0.000|0.000|0.530|0.000
102,2,SOUTH,-1.0,329.5,199.0,13,13,7,0,0,0,2,-2,-1,2,11,0.5,0.000|0.000|0.000|0.000|0.516|0.000
103,4,EAST,-1.0,328.5,198.0,13,13,8,1,0,0,1,-2,-2,6,19,0.5,0.000|0.000|0.000|0.000|0.544|0.000
104,3,WEST,-1.0,327.5,197.0,13,14,8,1,0,-1,1,-3,-2,2,17,0.5,0.000|0.000|0.000|0.000|0.759|0.000
105,4,EAST,-1.0,326.5,196.0,13,13,8,1,0,0,1,-2,-2,2,18,0.5,0.000|0.000|0.000|0.000|0.653|0.000
106,4,EAST,-1.0,325.5,195.0,13,14,8,1,0,-1,1,-3,-2,6,19,0.5,0.000|0.000|0.000|0.000|0.597|0.000
107,4,EAST,-1.0,324.5,194.0,13,15,8,0,0,2,1,1,-3,5,21,0.5,0.000|0.000|0.000|0.000|0.842|0.000
108,4,EAST,-1.0,323.5,193.0,13,16,8,1,0,1,1,0,-3,4,22,0.5,0.000|0.000|0.000|0.000|0.848|0.000
109,4,EAST,-1.0,322.5,192.0,13,17,8,1,0,0,1,-1,-3,3,10,0.5,0.000|0.000|0.000|0.000|0.837|0.000
110,4,EAST,-1.0,321.5,191.0,13,18,8,2,0,1,0,-2,-3,6,10,0.5,0.000|0.000|0.000|0.000|0.642|0.000
111,5,EAT,33.0,354.5,200.0,14,19,8,1,0,0,0,-3,-3,3,10,0.5,0.000|0.000|0.000|0.000|0.684|0.000
112,4,EAST,-1.0,353.5,199.0,14,19,8,0,0,-2,1,-3,-3,5,19,0.5,0.000|0.000|0.000|0.000|0.542|0.000
113,4,EAST,-1.0,352.5,198.0,14,19,8,0,0,-2,1,-3,-3,3,16,0.5,0.000|0.000|0.000|0.000|0.769|0.000
114,3,WEST,-1.0,351.5,197.0,14,19,8,0,0,-2,1,-3,-3,3,21,0.5,0.000|0.000|0.000|0.000|0.621|0.000
115,2,SOUTH,-1.0,350.5,196.0,14,18,8,1,0,-1,1,-2,-3,2,21,0.5,0.000|0.000|0.000|0.000|0.622|0.000
116,2,SOUTH,-1.0,349.5,195.0,14,18,9,1,0,-1,0,-2,-4,2,21,0.5,0.000|0.000|0.000|0.000|0.631|0.000
117,3,WEST,-1.0,348.5,194.0,14,18,9,1,0,-1,0,-2,-4,2,22,0.5,0.000|0.000|0.000|0.000|0.652|0.000
118,5,EAT,31.0,379.5,200.0,15,17,9,1,0,0,0,-1,-4,3,21,0.5,0.000|0.000|0.000|0.000|0.625|0.000
119,2,SOUTH,-1.0,378.5,199.0,15,17,9,0,0,-4,0,-1,-4,2,6,0.5,0.000|0.000|0.000|0.000|0.731|0.000
120,2,SOUTH,-1.0,377.5,198.0,15,17,9,0,0,-2,0,-1,-4,2,7,0.5,0.000|0.000|0.000|0.000|0.580|0.000
121,4,EAST,-1.0,376.5,197.0,15,17,9,0,0,-2,0,-1,-4,4,15,0.5,0.000|0.000|0.000|0.000|0.544|0.000
122,3,WEST,-1.0,375.5,196.0,15,18,9,0,0,-3,0,-2,-4,2,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
123,3,WEST,-1.0,374.5,195.0,15,17,9,0,0,-2,0,-1,-4,3,14,0.5,0.000|0.000|0.000|0.000|0.618|0.000
124,0,STAY,-0.5,374.0,194.5,15,16,9,1,0,-1,0,0,-4,4,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
125,3,WEST,-1.0,373.0,193.5,15,16,9,1,0,-1,0,0,-4,2,21,0.5,0.000|0.000|0.000|0.000|0.525|0.000
126,5,EAT,25.0,398.0,200.0,16,15,9,1,0,0,0,1,-4,3,23,0.5,0.000|0.000|0.000|0.000|0.614|0.000
127,2,SOUTH,-1.0,397.0,199.0,16,15,9,0,0,0,-2,1,-4,3,21,0.5,0.000|0.000|0.000|0.000|0.617|0.000
128,1,NORTH,-1.0,396.0,198.0,16,15,9,0,0,0,-2,1,-4,2,21,0.5,0.000|0.000|0.000|0.000|0.699|0.000
129,1,NORTH,-1.0,395.0,197.0,16,15,8,2,0,0,-1,1,-3,2,7,0.5,0.000|0.000|0.000|0.000|0.748|0.000
130,5,EAT,30.0,425.0,200.0,17,15,7,2,0,0,0,1,-2,2,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
131,4,EAST,-1.0,424.0,199.0,17,15,7,1,0,1,0,1,-2,1,8,0.5,0.000|0.000|0.000|0.000|0.000|0.000
132,5,EAT,19.0,443.0,200.0,18,16,7,1,0,0,0,0,-2,2,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
133,1,NORTH,-1.0,442.0,199.0,18,16,7,0,0,-1,-3,0,-2,1,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
134,1,NORTH,-1.0,441.0,198.0,18,16,6,0,1,-1,-2,0,-1,1,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
135,2,SOUTH,-1.0,440.0,197.0,18,16,5,1,2,-1,-1,0,0,2,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
136,0,STAY,-0.5,439.5,196.5,18,16,6,0,1,-1,-2,0,-1,5,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
137,1,NORTH,-1.0,438.5,195.5,18,16,6,0,1,-1,-2,0,-1,1,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
138,1,NORTH,-1.0,437.5,194.5,18,16,5,1,2,-1,-1,0,0,2,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
139,3,WEST,-1.0,436.5,193.5,18,16,4,3,2,-1,0,0,1,1,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
140,5,EAT,28.0,464.5,200.0,19,15,4,5,1,0,0,1,1,3,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
141,1,NORTH,-1.0,463.5,199.0,19,15,4,4,1,0,-1,1,1,2,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
142,5,EAT,33.0,496.5,200.0,20,15,3,5,0,0,0,-3,0,3,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
143,4,EAST,-1.0,495.5,199.0,20,15,3,4,0,1,0,-3,0,1,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
144,5,EAT,22.0,517.5,200.0,21,16,3,2,1,0,0,0,2,2,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
145,0,STAY,-0.5,517.0,199.5,21,16,3,1,1,0,-1,0,2,3,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
146,4,EAST,-1.0,516.0,198.5,21,16,3,1,1,0,-1,0,2,5,23,0.5,0.000|0.000|0.000|0.000|0.577|0.000
147,4,EAST,-1.0,515.0,197.5,21,17,3,2,1,1,0,0,1,5,24,0.5,0.000|0.000|0.000|0.000|0.602|0.000
148,5,EAT,27.0,542.0,200.0,22,18,3,2,2,0,0,1,0,5,27,0.5,0.000|0.000|0.000|0.000|0.507|0.506
149,3,WEST,-1.0,541.0,199.0,22,18,3,1,2,1,-1,1,0,1,8,0.5,0.000|0.000|0.000|0.000|0.000|0.000
150,1,NORTH,-1.0,540.0,198.0,22,17,3,1,1,0,-2,0,1,1,8,0.5,0.000|0.000|0.000|0.000|0.000|0.000
151,1,NORTH,-1.0,539.0,197.0,22,17,2,2,0,0,-1,0,2,1,8,0.5,0.000|0.000|0.000|0.000|0.000|0.000
152,5,EAT,34.0,573.0,200.0,23,17,1,2,0,0,0,0,3,2,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
153,3,WEST,-1.0,572.0,199.0,23,17,1,1,0,-1,1,0,3,1,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
154,2,SOUTH,-1.0,571.0,198.0,23,16,1,1,0,0,1,-2,-1,1,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
155,5,EAT,26.0,597.0,200.0,24,16,2,1,0,0,0,0,3,2,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
156,3,WEST,-1.0,596.0,199.0,24,16,2,0,0,-2,0,0,3,1,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
157,3,WEST,-1.0,595.0,198.0,24,15,2,2,0,-1,0,-1,-2,1,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
158,5,EAT,21.0,616.0,200.0,25,14,2,4,0,0,0,0,-2,3,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
159,2,SOUTH,-1.0,615.0,199.0,25,14,2,3,0,-1,0,0,-2,1,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
160,5,EAT,36.0,651.0,200.0,26,14,3,4,0,0,0,-2,0,2,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
161,0,STAY,-0.5,650.5,199.5,26,14,3,3,0,0,1,-2,0,4,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
162,2,SOUTH,-1.0,649.5,198.5,26,14,3,3,0,0,1,-2,0,1,16,0.5,0.000|0.000|0.000|0.000|0.000|0.000
163,5,EAT,33.0,682.5,200.0,27,14,4,4,0,0,0,-2,-1,2,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
164,2,SOUTH,-1.0,681.5,199.0,27,14,4,3,0,0,1,-2,-1,1,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
165,5,EAT,22.0,703.5,200.0,28,14,5,2,0,0,0,2,0,2,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
166,0,STAY,-0.5,703.0,199.5,28,14,5,1,0,-1,0,2,0,3,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
167,3,WEST,-1.0,702.0,198.5,28,14,5,1,0,-1,0,2,0,1,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
168,5,EAT,21.0,723.0,200.0,29,13,5,1,0,0,0,-1,-2,2,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
169,0,STAY,-0.5,722.5,199.5,29,13,5,0,0,-2,0,-1,-2,3,9,0.5,0.000|0.000|0.000|0.000|0.000|0.000
170,0,STAY,-0.5,722.0,199.0,29,13,5,0,0,-2,0,-1,-2,3,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
171,3,WEST,-1.0,721.0,198.0,29,13,5,0,0,-2,0,-1,-2,1,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
172,3,WEST,-1.0,720.0,197.0,29,12,5,1,1,-1,0,0,-2,1,12,0.5,0.000|0.000|0.000|0.000|0.000|0.000
173,5,EAT,26.0,746.0,200.0,30,11,5,1,1,0,0,0,1,2,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
174,0,STAY,-0.5,745.5,199.5,30,11,5,0,1,-3,0,0,1,4,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
175,0,STAY,-0.5,745.0,199.0,30,11,5,0,1,-3,0,0,1,3,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
176,3,WEST,-1.0,744.0,198.0,30,11,5,0,1,-3,0,0,1,1,17,0.5,0.000|0.000|0.000|0.000|0.000|0.000
177,0,STAY,-0.5,743.5,197.5,30,10,5,0,1,-2,0,1,1,5,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
178,3,WEST,-1.0,742.5,196.5,30,10,5,0,1,-2,0,1,1,1,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
179,0,STAY,-0.5,742.0,196.0,30,9,5,1,0,-1,0,-3,0,4,23,0.5,0.000|0.000|0.000|0.000|0.000|0.000
180,0,STAY,-0.5,741.5,195.5,30,9,5,1,0,-1,0,-3,0,5,25,0.5,0.000|0.000|0.000|0.000|0.000|0.000
181,3,WEST,-1.0,740.5,194.5,30,9,5,1,0,-1,0,-3,0,2,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
182,5,EAT,23.0,763.5,200.0,31,8,5,1,0,0,0,-2,0,2,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
183,4,EAST,-1.0,762.5,199.0,31,8,5,0,0,2,2,-2,0,1,21,0.5,0.000|0.000|0.000|0.000|0.000|0.000
184,2,SOUTH,-1.0,761.5,198.0,31,9,5,0,0,1,2,-3,0,1,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
185,4,EAST,-1.0,760.5,197.0,31,9,6,1,0,1,1,2,0,1,23,0.5,0.000|0.000|0.000|0.000|0.000|0.000
186,0,STAY,-0.5,760.0,196.5,31,10,6,1,1,0,1,1,0,5,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
187,2,SOUTH,-1.0,759.0,195.5,31,10,6,1,1,0,1,1,0,1,23,0.5,0.000|0.000|0.000|0.000|0.000|0.000
