tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
0,4,EAST,-1.0,-1.0,99.0,0,10,5,0,0,2,-2,-3,2,1,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
1,1,NORTH,-1.0,-2.0,98.0,0,11,5,0,0,1,-2,-4,2,1,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
2,4,EAST,-1.0,-3.0,97.0,0,11,4,1,0,1,-1,-4,3,1,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
3,1,NORTH,-1.0,-4.0,96.0,0,12,4,1,0,0,-1,-5,3,1,18,0.5,0.000|0.000|0.000|0.000|0.000|0.000
4,5,EAT,32.0,28.0,128.0,1,12,3,1,0,0,0,-5,4,2,19,0.5,0.000|0.000|0.000|0.000|0.000|0.000
5,3,WEST,-1.0,27.0,127.0,1,12,3,0,0,-4,-2,-5,4,1,20,0.5,0.000|0.000|0.000|0.000|0.000|0.000
6,0,STAY,-0.5,26.5,126.5,1,11,3,0,0,-3,-2,-4,4,5,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
7,0,STAY,-0.5,26.0,126.0,1,11,3,0,0,-3,-2,-4,4,5,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
8,0,STAY,-0.5,25.5,125.5,1,11,3,0,0,-3,-2,-4,4,6,27,0.5,0.000|0.000|0.000|0.000|0.000|0.000
9,3,WEST,-1.0,24.5,124.5,1,11,3,0,0,-3,-2,-4,4,3,6,0.5,0.000|0.000|0.512|0.000|0.000|0.000
10,0,STAY,-0.5,24.0,124.0,1,10,3,0,0,-2,-2,-3,4,5,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
11,3,WEST,-1.0,23.0,123.0,1,10,3,0,0,-2,-2,-3,4,1,9,0.5,0.000|0.000|0.000|0.000|0.000|0.000
12,1,NORTH,-1.0,22.0,122.0,1,9,3,0,0,-1,-2,-2,4,1,11,0.5,0.000|0.000|0.000|0.000|0.000|0.000
13,0,STAY,-0.5,21.5,121.5,1,9,2,1,0,-1,-1,-6,-1,5,13,0.5,0.000|0.000|0.000|0.000|0.000|0.000
14,0,STAY,-0.5,21.0,121.0,1,9,2,1,0,-1,-1,-6,-1,5,15,0.5,0.000|0.000|0.000|0.000|0.000|0.000
15,0,STAY,-0.5,20.5,120.5,1,9,2,1,0,-1,-1,-6,-1,6,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
16,0,STAY,-0.5,20.0,120.0,1,9,2,1,0,-1,-1,-6,-1,5,22,0.5,0.000|0.000|0.000|0.000|0.000|0.000
17,0,STAY,-0.5,19.5,119.5,1,9,2,1,0,-1,-1,-6,-1,6,24,0.5,0.000|0.000|0.000|0.000|0.000|0.000
18,0,STAY,-0.5,19.0,119.0,1,9,2,1,0,-1,-1,-6,-1,5,23,0.5,0.000|0.000|0.000|0.000|0.000|0.000
19,4,EAST,-1.0,18.0,118.0,1,9,2,1,0,-1,-1,-6,-1,4,10,0.5,0.000|0.000|0.000|0.000|0.000|0.000
20,0,STAY,-0.5,17.5,117.5,1,10,2,0,0,-2,-1,-3,5,4,14,0.5,0.000|0.000|0.000|0.000|0.000|0.000
